"","Academic_Year","Term","Course_Number","Course_Title","Primary_Instructor","Student_Count","A","A.","B.","B","B..1","C.","C","C..1","D.","D","D..1","F","W","Average_GPA"
"1","2010-11","20104 (Autumn 2010)","ASTBIO 501 A","ASTROBIO DISCIPLINE","MEADOWS, VICTORIA S",13,4,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7
"2","2010-11","20111 (Winter 2011)","ASTBIO 115 A","INTRO ASTROBIOLOGY","CATLING, DAVID C.",18,1,10,NA,1,2,1,2,NA,NA,NA,NA,NA,1,3.2
"3","2011-12","20114 (Autumn 2011)","ASTBIO 115 A","INTRO ASTROBIOLOGY","BUICK, ROGER",13,2,NA,4,1,2,2,1,1,NA,NA,NA,NA,NA,2.9
"4","2012-13","20124 (Autumn 2012)","ASTBIO 115 A","INTRO ASTROBIOLOGY","SULLIVAN, WOODRUFF T III",15,5,4,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3.4
"5","2013-14","20134 (Autumn 2013)","ASTBIO 115 A","INTRO ASTROBIOLOGY","CATLING, DAVID C.",36,5,11,8,5,4,2,NA,NA,NA,NA,NA,NA,1,3.3
"6","2013-14","20134 (Autumn 2013)","ASTBIO 502 A","ASTROBIO TOPICS","MEADOWS, VICTORIA S",13,6,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8
"7","2014-15","20144 (Autumn 2014)","ASTBIO 115 A","INTRO ASTROBIOLOGY","BUICK, ROGER",42,7,9,7,9,2,2,4,NA,NA,1,1,NA,NA,3.1
"8","2014-15","20144 (Autumn 2014)","ASTBIO 501 A","ASTROBIO DISCIPLINE","CATLING, DAVID C.",17,11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8
"9","2015-16","20154 (Autumn 2015)","ASTBIO 115 A","INTRO ASTROBIOLOGY","BARNES, RORY K",27,6,2,4,1,4,5,2,2,NA,NA,NA,NA,1,2.9
